 ;Pedido Id;Data/Hora;Situação;Situação;Situação - Transporte;Marketplace;Forma de Pagamento;Forma de Recebimento;Serviço Transportadora;Valor Produto;Valor Desconto;Valor Acréscimo;Valor Frete;Valor Frete Transportadora;Valor Total;Valor Total Pedido;Loja;Obs.;Origem - Pedido
transporte;1407;17/09/2024 08:33;7;7 - Transporte;Não Enviado;7 - Mercado Livre;17 - Pix;5 - Mercado Livre;;26,97;0;0;35,4;35,4;62,37;62,37;1 - Dica de Madame;;Marketplace
transporte;1406;17/09/2024 08:09;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;34,5;1,04;0;10,53;10,53;43,99;43,99;1 - Dica de Madame;;Site
transporte;1405;17/09/2024 00:41;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;115,8;26;0;8,3;25;89,8;89,8;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1404;16/09/2024 23:36;2;2 - Cancelado Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;19,9;0;0;13,59;0;33,49;33,49;1 - Dica de Madame;;Marketplace
transporte;1403;16/09/2024 22:54;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;21,9;0;0;13,5;8,9;35,4;35,4;1 - Dica de Madame;1;Marketplace
transporte;1402;16/09/2024 22:38;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;19,9;0;0;13,11;8,42;33,01;33,01;1 - Dica de Madame;;Marketplace
transporte;1401;16/09/2024 22:21;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;96,6;15;0;7,17;25;81,6;81,6;1 - Dica de Madame;;Marketplace
aguardando-pagamento;1400;16/09/2024 21:36;1;1 - Aguardando Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;8,9;0;0;13,56;0;22,46;22,46;1 - Dica de Madame;;Marketplace
transporte;1399;16/09/2024 21:22;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;10,9;0;0;5,48;25;10,9;10,9;1 - Dica de Madame;;Marketplace
transporte;1398;16/09/2024 20:54;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;19,9;0;0;13,62;10,13;33,52;33,52;1 - Dica de Madame;1;Marketplace
pagamento-cancelado;1397;16/09/2024 20:42;2;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;143,8;34;0;12,93;25;109,8;109,8;1 - Dica de Madame;;Marketplace
transporte;1396;16/09/2024 17:54;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;44,7;0;0;19,53;15,66;64,23;64,23;1 - Dica de Madame;1;Marketplace
transporte;1395;16/09/2024 17:42;7;7 - Transporte;Em Transporte;;2 - Cartão - MasterCard;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;16,7;0;0;8,41;8,41;25,11;25,11;1 - Dica de Madame;;Site
transporte;1394;16/09/2024 17:37;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;39,8;0;0;14,35;11,49;54,15;54,15;1 - Dica de Madame;1;Marketplace
transporte;1393;16/09/2024 17:34;7;7 - Transporte;Não Enviado;23 - Magazine Luiza;;29 - Magazine Luiza;16 - Magalu Entregas - Magalu Entregas;47,9;0;0;14;14;61,9;61,9;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1392;16/09/2024 17:12;2;2 - Cancelado Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;43,9;0;0;13,9;0;57,8;57,8;1 - Dica de Madame;;Marketplace
transporte;1391;16/09/2024 14:44;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;8,49;0,25;0;8,25;8,25;16,49;16,49;1 - Dica de Madame;;Site
pagamento-cancelado;1390;16/09/2024 14:42;2;2 - Cancelado Pagamento;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;57,9;13;0;15,96;25;44,9;44,9;1 - Dica de Madame;;Marketplace
transporte;1389;16/09/2024 13:36;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;87,8;0;0;13,34;9,48;101,14;101,14;1 - Dica de Madame;1;Marketplace
transporte;1388;16/09/2024 12:54;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;3,9;0;0;14;8,23;17,9;17,9;1 - Dica de Madame;1;Marketplace
transporte;1387;16/09/2024 12:03;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;26,9;7;0;8,3;25;19,9;19,9;1 - Dica de Madame;;Marketplace
transporte;1386;16/09/2024 11:37;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;87,8;0;0;14,76;10,23;102,56;102,56;1 - Dica de Madame;;Marketplace
transporte;1385;16/09/2024 11:22;7;7 - Transporte;Não Enviado;41 - Shopee;;63 - Shopee;40 - Shopee Entregas - Shopee Entregas;43,6;0;0;5,48;25;43,6;43,6;1 - Dica de Madame;;Marketplace
transporte;1384;16/09/2024 10:08;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;28,09;0,84;0;8,54;8,54;35,79;35,79;1 - Dica de Madame;;Site
transporte;1383;16/09/2024 09:56;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;28,5;0,86;0;8,55;8,55;36,19;36,19;1 - Dica de Madame;;Site
transporte;1382;16/09/2024 09:13;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;8,9;0;0;15,08;9,97;23,98;23,98;1 - Dica de Madame;1;Marketplace
transporte;1381;16/09/2024 09:00;7;7 - Transporte;Em Transporte;;17 - Pix;64 - MagaPay (Asaas);41 - J&T Express - J&T Express;16,98;0,51;0;8,61;8,61;25,08;25,08;1 - Dica de Madame;;Site
aguardando-pagamento;1379;16/09/2024 08:58;1;1 - Aguardando Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;3,9;0;0;15;0;18,9;18,9;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1380;16/09/2024 08:58;2;2 - Cancelado Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;19,9;0;0;13,62;0;33,52;33,52;1 - Dica de Madame;;Marketplace
aguardando-pagamento;1378;16/09/2024 08:58;1;1 - Aguardando Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;14,9;0;0;14,18;0;29,08;29,08;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1377;16/09/2024 08:58;2;2 - Cancelado Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;17,8;0;0;13,63;0;31,43;31,43;1 - Dica de Madame;;Marketplace
pagamento-cancelado;1376;16/09/2024 08:58;2;2 - Cancelado Pagamento;Não Enviado;26 - Amazon;;33 - Amazon;;4,9;0;0;19,03;0;23,93;23,93;1 - Dica de Madame;;Marketplace
transporte;1375;16/09/2024 08:58;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;16,9;0;0;30,12;13,53;47,02;47,02;1 - Dica de Madame;;Marketplace
transporte;1374;16/09/2024 08:58;7;7 - Transporte;Em Transporte;26 - Amazon;;33 - Amazon;41 - J&T Express - J&T Express;16,9;0;0;16,12;8,99;33,02;33,02;1 - Dica de Madame;;Marketplace
